Stalk,Test_01,Test_02,Test_03,Test_04,Test_05,Test_06,Test_07,Test_08,Test_09,Test_10,Mean,Median,Std_Dev
S01,49.320047894708665,42.44152802134957,43.47182590864997,32.44562058687426,41.93767721262517,38.35584673595894,47.69751939004957,29.510416615352074,65.6361483308411,59.53882575020242,45.03554564466118,42.95667696499977,11.170885701077218
S02,22.648465626741,28.21436871442748,32.690027189834346,,22.52998510758269,15.284598159683476,16.254635519357304,20.46631167655539,22.29753325467846,25.026003093568523,22.823547593603184,22.52998510758269,5.445131213948886
S03,26.608790605864304,27.746936958003065,24.923953051073493,25.53306740274375,27.54826247307224,28.23615759365809,27.743282056817208,25.96317468552675,27.321283127992373,28.898054497979413,27.052296245273066,27.434772800532308,1.2608400561937343
S04,28.40953773907044,27.327900273792505,22.086161865084964,32.43760457343494,25.53800800805322,25.38049526018771,27.725103118668745,33.25820279820648,28.39916253309157,31.014964674788516,28.157714084437906,28.062132825880155,3.4145657775725096
S05,20.185729610778058,24.50099275818459,22.19876109434934,26.03066905075141,26.097277386749255,22.721312746244617,26.586541696864526,29.304442397305905,24.660830489429916,25.03032415354092,24.731688138419855,24.84557732148542,2.5641381666423153
S06,16.08498032734219,11.519083984667772,13.122977730774274,15.203029371929794,13.070408852135785,16.92751613592488,17.989927358655248,16.154598448392445,15.849971867385635,17.27170231369304,15.319419639090109,15.967476097363914,2.093179142405276
S07,12.43072140961403,12.920062079602035,11.116038379308625,13.323341817838953,12.955847011350478,11.282009379401616,14.310732847910018,11.458168127748053,14.573651237906665,12.551640344539278,12.692221263521974,12.735851212070656,1.190852354719731
S08,,,24.82882929040237,12.324824943910683,13.525366824634538,7.100728419842837,16.143518575058902,12.848718134573565,15.746876000877306,12.372474780599319,14.361417121237439,13.187042479604052,5.049335705819729
S09,26.10744384729279,19.69468990874275,21.551574029547627,24.294223528972584,21.52952886783396,24.336661283165068,20.858353709355736,22.470682059472804,20.60132644194831,19.6504636758399,22.109494735217158,21.540551448690792,2.1657188083102015
S10,30.862790755426207,24.17566631604099,21.70083454412786,22.075892594210774,20.323719689345754,23.157964146232967,23.21784009977738,21.008057220372436,26.038429820960385,23.8019071421247,23.636310232861945,23.187902123005173,3.0327178526780783
S11,27.66495625703953,20.971264960376306,21.631460762138246,24.25140206898618,20.126721673911327,26.100028985218653,20.092694451598856,24.585498542304848,22.155731815149807,22.436970510633945,23.00167300273577,22.296351162891874,2.5642497654645595
S12,11.10291418866948,7.238237807948011,6.202963988675602,11.082750605367053,10.046279116225106,12.541167521926988,11.001645601585615,12.765366316101934,14.275970273826367,18.892007711380074,11.514930313170623,11.092832397018267,3.5581734506858744
S13,13.435915916685223,11.10587191460929,11.367063947573001,15.168197413236468,16.576426994368735,15.473136723550505,15.22348422625442,16.45318480716437,14.117361900299946,17.964400818207558,14.688504466194953,15.195840819745445,2.218713505041502
