Stalk,Test_51,Test_52,Test_53,Test_54,Test_55,Test_56,Test_57,Test_58,Test_59,Test_60,Mean,Median,Std_Dev
S01,44.20553752574694,40.331702595085815,36.91009794275707,38.570298130395706,36.06263162461951,37.43257217511793,34.32069879390476,37.273536887527555,39.16349500678571,40.981257666801795,38.525182834874286,38.00143515275682,2.8103476220497146
S02,27.817680068707443,23.221447835367922,21.70025121298818,22.329666631152033,23.479575361208585,25.484604580560802,25.480431311963013,22.126157487844726,25.756134220152237,24.305298424807727,24.170124713475268,23.892436893008156,1.952927380103528
S03,32.38456921464079,29.879035171816138,28.325527580647456,30.43838371720547,30.4013572011541,27.032400303985984,28.58883821859961,27.96923331112761,31.506948289246314,32.05589090533457,29.858218391375807,30.14019618648512,1.8280690416098784
S04,37.51756517838298,35.38807590447819,35.682743671080324,38.0713657687423,36.459259005551296,34.1705531483432,32.45321954026266,35.06433041779014,36.820932668319,36.07321540975483,35.7701260712705,35.87797954041758,1.6408824665196868
S05,45.04581163994789,38.11722318568875,34.89797110626923,39.43538826616133,36.26724832275433,37.02671302589148,35.954704701311954,34.47314138742318,37.86945741755614,38.744548025030596,37.783220707803494,37.448085221723815,3.0187058784652883
S06,21.77552750418458,18.906584505800364,17.534587902125217,19.31307681981369,19.293553396428404,18.579320197412397,18.708715196069516,19.620673244199057,21.448877314074466,19.844493946759076,19.502541002686677,19.303315108121048,1.2856322193275294
S07,17.131872189857802,19.24102838404846,13.59140936906111,13.611994999565004,16.747134137389292,14.454579195109178,14.476589730820377,15.203981478926428,15.225494127788204,14.414657139575416,15.409874075214125,14.840285604873403,1.7895039917267042
S08,11.536790101506519,10.697281904579546,10.47397618236874,10.573002099605358,8.937923907864825,12.52156883647523,9.310428676333425,12.385611239503623,9.413209901984642,11.698262197411976,10.754805504763388,10.63514200209245,1.2730095106243857
S09,28.18042654999172,33.51474453460238,21.60317547025478,27.194813256144897,26.546227034134983,28.62215976199347,26.28791762553179,28.4892665180633,29.116105424358242,30.406348883212583,27.996118505828814,28.33484653402751,3.0681129338394353
S10,28.17707664356887,31.349367144673845,30.412974272124572,27.34440168011213,33.11363867900125,35.10956685668334,33.75659166307137,35.57373250079849,22.440688426560957,34.89999997257835,31.217803783917315,32.231502911837545,4.212022690066873
S11,29.13910308467109,26.925843906793684,32.47241565657536,24.36958445103682,26.755753110054826,29.949585347050164,29.152037060405842,30.223833220066595,26.29646073673739,27.03955724412216,28.23241738175139,28.089330164396625,2.3697107384798044
S12,15.242925260090951,17.939664930987398,14.537270790348671,18.84250970554836,15.48756639838227,14.440642364825429,17.349922508134103,12.807285929009636,17.34805484161184,17.314439974710165,16.131028270364883,16.40100318654622,1.9043260384797167
S13,18.86551055568071,17.2207037656428,17.66737821967297,16.80547921557545,16.81360742334805,14.713722398573147,17.437448509960614,17.137078022456652,17.834587251555924,16.873003917086088,17.13685192795524,17.178890894049726,1.0545883999299348
