Stalk,Test_21,Test_22,Test_23,Test_24,Test_25,Test_27,Test_28,Test_29,Test_30,Mean,Median,Std_Dev
S01,16.663797423006155,10.6536683239696,13.303600879408357,15.190603961138,14.526371410956974,13.61733224243916,12.517204962226335,14.024180716027471,13.750428331826221,13.805243138999808,13.750428331826221,1.678538915756627
S02,27.81353291760631,26.40257940089843,26.669672247106092,26.54339974243182,29.5972551770622,28.6352909346066,30.057407219913703,26.80369897422928,28.266579239019148,27.865490650319288,27.81353291760631,1.3695385935182962
S03,28.414530353798956,25.374451742877298,27.262820611500757,24.346459994827555,26.26912087699617,26.851161360895475,28.86353184538132,29.118693334392628,22.851576914493027,26.594705226129243,26.851161360895475,2.1213981686803143
S04,19.168172640225375,20.31633855667491,20.667493817511723,19.264113183261383,19.672947591164267,21.73479442203168,19.11967125328593,22.58915055190006,24.431102111122517,20.77375379190865,20.31633855667491,1.824165906471544
S05,21.804382908148764,21.432184535388984,19.769068833798848,20.853166697971194,21.08179575497179,21.53301416084599,21.755742984904263,21.39158484192417,20.24507389807069,21.096223846224966,21.39158484192417,0.6957396999817047
S06,29.24420310885438,27.577388001248135,31.578005359010024,28.348827447183506,27.842236029982143,27.416541194516004,29.776039603178074,30.40941567037024,22.556509752318508,28.305462907406778,28.348827447183506,2.568247875342036
S07,37.02989827548188,33.034434135329604,38.251746336500375,36.9117836515156,36.143639830656205,36.56202448369448,37.868558432282164,41.52815542999254,34.79588735850456,36.90290310377305,36.9117836515156,2.3520810057549757
S08,13.281327077096819,9.936397363863612,16.465895931090675,13.013348540476217,13.145415876380376,19.790637352106646,12.346186603763462,17.447424825987287,13.824430007241347,14.361229286445159,13.281327077096819,2.9962801540895088
S09,33.44341359807665,35.60682962446703,30.393367423853267,33.76912283223033,25.14116284094491,31.73569036755184,25.353754021200654,28.564301605558317,29.859220043982234,30.429651373096142,30.393367423853267,3.6449078853198293
S10,7.6726354419576515,,8.178703849007809,11.522870412615243,13.856406633898283,,,,8.976032616629464,10.041329790821688,8.976032616629464,2.596378262089526
S11,27.353535286035157,23.20966098262187,27.475739470328204,26.002045784227292,25.106204950837878,28.901602712041367,24.825429501035714,23.19599350868069,26.389846537210413,25.82889541477984,26.002045784227292,1.9411525645740073
S12,50.92379829446994,50.40360103550012,48.69721240227518,48.36984682623771,52.915919561347486,48.79564783090879,46.77964211868204,42.87089540008723,48.55735016904155,48.701545959838896,48.69721240227518,2.8157199962933794
S13,5.845054069701856,7.392742607155103,11.640725797811939,6.2417060633536146,14.282952075842026,24.44517799449481,12.599393839669682,14.010669473684958,11.59450147038276,12.005880376899638,11.640725797811939,5.668528415214076
S14,34.01610189434442,36.56108965178684,41.24449879873254,34.799752383141396,40.5547105591708,46.27695873063623,39.86244026837755,40.95928794528947,44.98145392542253,39.91736601743352,40.5547105591708,4.207508051780002
S15,40.71436704159759,37.7729054966385,40.133106494215056,37.38124546393602,37.141081175019394,43.9466036939667,39.41690436985628,38.16198119011436,38.97103308809089,39.29324755704831,38.97103308809089,2.1323858658105292
S16,20.906793703660295,20.373183482322414,22.585081883109314,18.41745616462267,17.420335765739676,25.884522263466263,,20.154390406633294,,20.820251952793416,20.373183482322414,2.791207845829756
S17,23.568712587485134,25.810092152627956,24.93647348954776,23.485199933047564,28.40867357950464,27.241984362877275,22.40252506672741,25.237392579690546,23.137480947293167,24.91428163320016,24.93647348954776,1.995467270160284
